Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
224,South Ala. (Sun Belt),32,14-18,2284,71.4,2322,72.6,-1.2
225,Oklahoma (Big 12),31,11-20,2262,73,2299,74.2,-1.2
226,Air Force (Mountain West),32,12-20,2356,73.6,2396,74.9,-1.3
227,Charleston So. (Big South),31,12-19,2304,74.3,2343,75.6,-1.3
228,Seattle U (Western Athletic),29,13-16,2038,70.3,2076,71.6,-1.3
229,Stanford (Pac-12),31,14-17,2162,69.7,2204,71.1,-1.4
230,Grambling (Southwestern),32,16-16,2304,72,2350,73.4,-1.4
231,Texas (Big 12),32,11-21,2162,67.6,2210,69.1,-1.5
232,UMKC (Western Athletic),31,16-15,2396,77.3,2443,78.8,-1.5
233,Kennesaw St. (ASUN),32,14-18,2401,75,2456,76.8,-1.7
234,Norfolk St. (Mid-Eastern),31,16-15,2183,70.4,2237,72.2,-1.7
235,Holy Cross (Patriot),32,15-17,1932,60.4,1988,62.1,-1.8
236,Hampton (Mid-Eastern),29,14-15,2016,69.5,2068,71.3,-1.8
237,Pittsburgh (Atlantic Coast),33,16-17,2404,72.8,2464,74.7,-1.8
238,North Carolina St. (Atlantic Coast),32,15-17,2483,77.6,2547,79.6,-2
239,Brown (Ivy League),30,13-17,2275,75.8,2338,77.9,-2.1
240,Fordham (Atlantic 10),31,13-18,2019,65.1,2085,67.3,-2.1
241,East Carolina (AAC),31,14-17,1931,62.3,1998,64.5,-2.2
242,NJIT (ASUN),31,11-20,2251,72.6,2320,74.8,-2.2
243,Fairleigh Dickinson (Northeast),30,11-19,2183,72.8,2250,75,-2.2
244,Jackson St. (Southwestern),32,14-18,2067,64.6,2142,66.9,-2.3
245,Appalachian St. (Sun Belt),30,9-21,2208,73.6,2279,76,-2.4
246,Arizona St. (Pac-12),32,15-17,2536,79.3,2615,81.7,-2.5
247,UNI (Missouri Valley),30,14-16,1854,61.8,1931,64.4,-2.6
